City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kovur,IN,76.17,scattered clouds,14.48,79.98,Pleasant Stay
2,Atuona,PF,77.47,light rain,-9.8,-139.03,Villa Enata
6,Butaritari,KI,82.29,clear sky,3.07,172.79,Isles Sunset Lodge
8,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
14,Faanui,PF,80.6,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Mount Isa,AU,84.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
21,Santa Maria,BR,71.6,scattered clouds,-29.68,-53.81,Hotel Morotin
23,Gorontalo,ID,79.39,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
24,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Inirida,CO,71.38,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
28,Omboue,GA,75.11,overcast clouds,-1.57,9.26,Hotel Olako
29,Vao,NC,74.3,broken clouds,-22.67,167.48,Hotel Kou-Bugny
32,Danane,CI,71.83,broken clouds,7.26,-8.15,Hotel du marché
34,Tual,ID,83.53,overcast clouds,-5.67,132.75,Grand Vilia Hotel
36,Rikitea,PF,74.32,light rain,-23.12,-134.97,Pension Maro'i
37,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
38,Punta Gorda,US,81.0,overcast clouds,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
44,Kavaratti,IN,80.92,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
45,Hilo,US,86.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
46,Ahipara,NZ,71.08,overcast clouds,-35.17,173.17,Ahipara Holiday Park
48,Nampula,MZ,71.2,few clouds,-15.12,39.27,Tacab Residencial
51,Puerto Palomas,MX,73.4,clear sky,31.77,-107.62,Hotel San Carlos
53,Atar,MR,81.9,overcast clouds,20.52,-13.05,Oumou Elghoura
58,Georgetown,MY,78.8,thunderstorm,5.41,100.34,Cititel Penang
60,Kawalu,ID,71.78,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
71,Labuan,MY,78.8,few clouds,5.28,115.24,Tiara Labuan Hotel
72,Bengkulu,ID,75.45,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
73,Pauini,BR,77.49,light rain,-7.71,-66.98,Casa do Kiwliks
74,Tallahassee,US,77.0,few clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
78,Victoria,HK,75.0,light rain,22.29,114.16,Mini Hotel Central
80,Kuliyapitiya,LK,78.8,scattered clouds,7.47,80.04,Rest House
82,Cabo San Lucas,MX,89.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
86,Mandera,KE,80.71,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
89,Sao Joao Da Barra,BR,71.6,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
92,Neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
93,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
99,Tarakan,ID,77.07,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
101,Sibolga,ID,75.67,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
109,Hambantota,LK,77.0,scattered clouds,6.12,81.12,Bungalow 63
112,Makakilo City,US,84.2,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
113,Moerai,PF,76.64,light rain,-22.43,-151.33,Le Manotel
125,Coihaique,CL,73.4,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
128,Ballina,AU,73.99,scattered clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
129,Rio Cuarto,AR,75.2,clear sky,-33.13,-64.35,Hotel Menossi
134,Port Blair,IN,79.63,scattered clouds,11.67,92.75,Fortune Resort Bay Island
136,Aloleng,PH,80.49,overcast clouds,16.13,119.78,Agno Umbrella Rocks
140,Arlit,NE,74.68,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
142,Yulara,AU,78.8,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
144,San Jose,US,84.0,haze,37.34,-121.89,The Westin San Jose
145,Labuhan,ID,78.37,moderate rain,-6.88,112.21,bador sepret
150,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
152,Bairiki,KI,86.0,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
154,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
156,Granadilla De Abona,ES,77.0,clear sky,28.12,-16.58,Hotel Rural Senderos De Abona
159,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
161,Prabumulih,ID,73.76,moderate rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
162,Coahuayana,MX,85.89,clear sky,18.73,-103.68,Hotel Los Arcos
163,Muncar,ID,77.13,overcast clouds,-8.43,114.33,Zaky Homestay
165,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
166,Pemangkat,ID,79.47,overcast clouds,1.17,108.97,Kost H.Syamsuddin
167,Saint George,US,81.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
169,Vila Velha,BR,73.4,broken clouds,-20.33,-40.29,Hotel Vitória Palace
171,Kirakira,SB,85.87,light rain,-10.45,161.92,SanBiz Lodge
174,Galveston,US,75.2,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
180,Lompoc,US,79.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
184,Chengalpattu,IN,78.8,mist,12.7,79.98,Fairfield by Marriott Chennai Mahindra World City
188,Sao Felix Do Xingu,BR,76.32,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
191,Am Timan,TD,82.83,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
192,Port Antonio,JM,79.0,shower rain,18.18,-76.46,Trident Hotel
193,Itarema,BR,79.92,clear sky,-2.92,-39.92,Windvillage
202,Asyut,EG,71.6,clear sky,27.18,31.18,Florence Hotel Assiut
204,Marawi,PH,75.99,light rain,8.0,124.29,Derogongan Residence
207,Caravelas,BR,70.68,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
212,Alyangula,AU,80.6,clear sky,-13.85,136.42,Groote Eylandt Lodge
214,Erzin,TR,70.0,light rain,36.96,36.2,Artemis Otel
216,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.08,Scoop Guest House
220,Dargaville,NZ,72.25,overcast clouds,-35.93,173.88,Parkview Motel
223,Puerto Leguizamo,CO,74.89,light rain,-0.19,-74.78,la casona de juancho
225,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
227,Janakpur,NP,71.33,scattered clouds,26.72,85.91,Hotel Sita Palace
230,Waingapu,ID,81.25,broken clouds,-9.66,120.26,Pondok Wisata Elim
233,Ocos,GT,87.8,shower rain,14.51,-92.19,La Bajadita
234,San Joaquin,US,80.6,clear sky,37.93,-121.3,University Plaza Waterfront Hotel
236,Umm Lajj,SA,77.83,clear sky,25.02,37.27,Moon light Furnished Units
238,Rio Bueno,CL,73.4,clear sky,-40.32,-72.97,Hostal Caulle
243,Comodoro Rivadavia,AR,77.0,clear sky,-45.87,-67.5,Austral Hotel
249,Fare,PF,80.83,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
250,Dinhata,IN,72.75,few clouds,26.13,89.47,Hotel Riya
251,Kavieng,PG,85.69,clear sky,-2.57,150.8,Nusa Island Retreat
